iter	change	metric	status	notes
0	baseline DISCO (reconstruction collapse, low-rank Sigma_r, lr=0.2)	0.115	baseline	broken at epoch 2, barely unlearns at any LR
1	+ Mahalanobis subtraction (low-rank Sigma_r)	0.114	discard	stronger signal but same poor forgetting
2	+ diagonal Sigma_r (full-rank whitening)	0.114	discard	eigenvalues 10x better (λ~65 vs ~8) but same poor forgetting
3	+ DISCO gradient collapse (retain backward pass)	0.096	keep	gate/up grads zeroed (λ<1), only down_proj grad collapse active
4	skip zero-active grad collapse → raw grads	0.113	discard	raw gate/up grads too disruptive, breaks fast
5	selective reconstruction, no double projection	0.111	discard	weaker gradient signal per epoch
6	act collapse all + grad collapse where selective	0.113	discard	same as iter4 — gate/up grads cause disruption
7	+ KL token masking	0.066	keep	controls disruption, 5+ training epochs at lr=0.2
8	+ LoRA adversary (lr=0.2, mom=0.97)	0.037	BEST	within 20% of RepCollapse (0.031)
9	post-hoc weight gradient projection (replace dual collapse)	0.071	discard	filtering after outer product less effective than during
10a	adaptive threshold (median-based, ~half dirs always active)	0.115	discard	activating gate/up grad dirs (λ<1) breaks model
10b	diagonal gradient DISCO fallback	0.115	discard	same — any gate/up grad activation causes disruption
11a	Joint Kronecker weighting (λ_act * λ_grad)	0.082	discard	less disruptive but still breaks early
11b	DISCO token weighting (selectivity-weighted loss)	0.082	discard	correlated with collapse, no improvement
12	soft Mahalanobis scaling (normalize by min, no hard cutoff)	0.115	discard	soft gate/up grads as destructive as any activation
